user_id,rank,movie_id,title,genres,collaborative_score,content_score,popularity_score,hybrid_score
1,1,1282,Fantasia (1940),Animation|Children's|Musical,0.9273651890464932,0.898100418739418,0.21841286860450074,0.7767952938659721
1,2,1265,Groundhog Day (1993),Comedy|Romance,0.8792058858979942,0.42650885214426676,0.6002053739788958,0.6875966733880563
1,3,2470,Crocodile Dundee (1986),Adventure|Comedy,1.0,0.42650885214426676,0.19567422050362898,0.6670874997440057
1,4,2268,"Few Good Men, A (1992)",Crime|Drama,0.8863411100576196,0.5163001894377965,0.2511519495800444,0.6482910017761577
1,5,2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,0.8884891757739143,0.46031746031746035,0.31659158000547377,0.64565814198329
1,6,367,"Mask, The (1994)",Comedy|Crime|Fantasy,0.9565104742588986,0.3482430195112029,0.25351313222774,0.6334307694283582
1,7,2858,American Beauty (1999),Comedy|Drama,0.32231149295070693,0.785674201318386,1.0,0.5968580068708693
1,8,356,Forrest Gump (1994),Comedy|Romance|War,0.7228118272749033,0.3849001794597506,0.5870356463343839,0.5942830967422537
1,9,2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,0.7751252113283614,0.4032287594340244,0.4128802669939788,0.5911072868931837
1,10,318,"Shawshank Redemption, The (1994)",Drama,0.49559208235049124,0.6666666666666666,0.6379216118981963,0.5753803635548849
2,1,2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,1.0,0.6315381175482905,0.36259558152991667,0.7619805515704704
2,2,3098,"Natural, The (1984)",Drama,0.8242461833850997,0.8528463467746146,0.1319663247756674,0.6943702606800677
2,3,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,0.9153557174870318,0.599151547417609,0.09426828899586866,0.6562769807679724
2,4,1917,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,0.730020205871593,0.599151547417609,0.2658988713297855,0.5979353414270363
2,5,2470,Crocodile Dundee (1986),Adventure|Comedy,0.913079242653808,0.3129770992366412,0.22410769033307767,0.5952542891645118
2,6,858,"Godfather, The (1972)",Action|Crime|Drama,0.33140661843452285,0.8850573625323445,0.7272417034726867,0.5766688586715021
2,7,466,Hot Shots! Part Deux (1993),Action|Comedy|War,0.6729920696551638,0.5734174461477161,0.1161905986234823,0.5317593883965932
2,8,1722,Tomorrow Never Dies (1997),Action|Romance|Thriller,0.587280411007901,0.6482110260800268,0.20981513760096784,0.5300665408481521
2,9,1208,Apocalypse Now (1979),Drama|War,0.47157436958546206,0.7175572519083968,0.3375145111992135,0.5185572626050927
2,10,367,"Mask, The (1994)",Comedy|Crime|Fantasy,0.7551054092671597,0.2306135381246249,0.2903511887587116,0.5048070038227097
3,1,2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,1.0,0.9110137364485653,0.41882601965160543,0.8570693248648906
3,2,1610,"Hunt for Red October, The (1990)",Action|Thriller,0.7999299760413648,0.44536177141512323,0.5581351095839494,0.6452005413620092
3,3,368,Maverick (1994),Action|Comedy|Western,0.6168487124231671,0.7532467532467533,0.22330868403598547,0.5790601189928066
3,4,1517,Austin Powers: International Man of Mystery (1997),Comedy,0.5975168978314325,0.6523308236298369,0.3717870541556826,0.5688151068358038
3,5,367,"Mask, The (1994)",Comedy|Crime|Fantasy,0.7206401793455864,0.4025974025974026,0.3353781427115646,0.5481749389943269
3,6,356,Forrest Gump (1994),Comedy|Romance|War,0.5115314622401234,0.45454545454545453,0.7766024704244713,0.5474498615685923
3,7,2194,"Untouchables, The (1987)",Action|Crime|Drama,0.6960073932432803,0.4025974025974027,0.3599192591434935,0.5407667692295597
3,8,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,0.5917759809353759,0.6635779067958686,0.10888718525724606,0.5167387995578977
3,9,1917,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,0.5121854289382771,0.6635779067958686,0.30713381955461044,0.5165928504188212
3,10,466,Hot Shots! Part Deux (1993),Action|Comedy|War,0.5359914757530055,0.7012987012987013,0.13420915317578216,0.5052271789012696
4,1,2194,"Untouchables, The (1987)",Action|Crime|Drama,1.0,0.7096774193548387,0.27206382025028847,0.7673159898565093
4,2,1610,"Hunt for Red October, The (1990)",Action|Thriller,0.9013681113802154,0.7506500824658124,0.42189565095954856,0.7602582106217611
4,3,2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,0.8613345980811314,0.6704712803492427,0.31659158000547377,0.6951269991464333
4,4,858,"Godfather, The (1972)",Action|Crime|Drama,0.5182500497529001,0.7096774193548387,0.6349735398783225,0.5990229586585661
4,5,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,0.33495998701948326,0.9032258064516129,0.7196148732801916,0.5823707101012638
4,6,2640,Superman (1978),Action|Adventure|Sci-Fi,0.4366071439966485,1.0,0.27733792132310625,0.5737711562629455
4,7,1917,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,0.44080955244751946,0.9498343138280939,0.23216318147280957,0.5517877066667498
4,8,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,0.4520709757182401,0.9498343138280939,0.19085061799251737,0.5491559056060517
4,9,1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,0.46151121947798557,0.7096774193548387,0.45490830271872684,0.5346404960891897
4,10,1371,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,0.3965180663091702,1.0,0.15564941890111011,0.5293889169348072
5,1,1265,Groundhog Day (1993),Comedy|Romance,0.859410573285557,0.5203579246326958,0.6874213667068976,0.7232969373739668
5,2,1060,Swingers (1996),Comedy|Drama,0.7244590533965788,0.9836033941227784,0.2044034706403182,0.6981912390631865
5,3,367,"Mask, The (1994)",Comedy|Crime|Fantasy,1.0,0.383419689119171,0.2903511887587116,0.6730961444874937
5,4,1784,As Good As It Gets (1997),Comedy|Drama,0.5779589968586485,0.9836033941227784,0.4021813454907541,0.6644967857643086
5,5,1246,Dead Poets Society (1989),Drama,0.6355416253924169,0.9153843646218935,0.2268281382984313,0.6377517497424626
5,6,2194,"Untouchables, The (1987)",Action|Crime|Drama,0.5780619509160664,0.7927461139896375,0.3115974818888059,0.5891743060326855
5,7,1584,Contact (1997),Drama|Sci-Fi,0.5653836769895144,0.7424619168539682,0.37964233593458296,0.5813588807378642
5,8,21,Get Shorty (1995),Action|Comedy|Drama,0.42783601766303886,0.9585492227979274,0.36146442996985834,0.5737756616648693
5,9,2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,0.6296917076256173,0.5429485692120056,0.36259558152991667,0.5502495408823936
5,10,1393,Jerry Maguire (1996),Drama|Romance,0.41959575554799733,0.8313035137424772,0.36775165831502926,0.5327392635597477
