user_id,rating_count,unique_movies,average_rating,first_rating_date,last_rating_date,recency_days,active_span_days,simulated_sessions,simulated_events,simulated_plays,simulated_completes,simulated_watch_seconds,simulated_avg_watch_seconds,simulated_completion_rate,simulated_engagement_days,simulated_event_span_days,simulated_engagement_frequency,simulated_plays_per_session,simulated_watch_hours,genre_pref_action,genre_pref_adventure,genre_pref_animation,genre_pref_children's,genre_pref_comedy,genre_pref_crime,genre_pref_documentary,genre_pref_drama,genre_pref_fantasy,genre_pref_film_noir,genre_pref_horror,genre_pref_musical,genre_pref_mystery,genre_pref_romance,genre_pref_sci_fi,genre_pref_thriller,genre_pref_war,genre_pref_western
1,53,53,4.188679245283019,2000-12-31,2001-01-06,782,6,2,56,20,14,95932,4796.6,0.7,2,6,0.3333333333333333,10.0,26.647777777777776,0.09433962264150944,0.09433962264150944,0.33962264150943394,0.37735849056603776,0.2641509433962264,0.03773584905660377,0.0,0.39622641509433965,0.05660377358490566,0.0,0.0,0.2641509433962264,0.0,0.11320754716981132,0.05660377358490566,0.05660377358490566,0.03773584905660377,0.0
2,129,129,3.7131782945736433,2000-12-31,2000-12-31,788,0,1,120,42,26,206902,4926.238095238095,0.6190476190476191,1,1,1.0,42.0,57.47277777777778,0.43410852713178294,0.14728682170542637,0.0,0.0,0.1937984496124031,0.09302325581395349,0.0,0.6124031007751938,0.007751937984496124,0.007751937984496124,0.015503875968992248,0.0,0.023255813953488372,0.18604651162790697,0.13178294573643412,0.24031007751937986,0.11627906976744186,0.023255813953488372
3,51,51,3.9019607843137254,2000-12-31,2000-12-31,788,0,1,59,21,15,111699,5319.0,0.7142857142857143,1,1,1.0,21.0,31.0275,0.45098039215686275,0.49019607843137253,0.058823529411764705,0.058823529411764705,0.5882352941176471,0.0,0.0,0.1568627450980392,0.0392156862745098,0.0,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.09803921568627451,0.11764705882352941,0.09803921568627451,0.0392156862745098,0.11764705882352941
4,21,21,4.190476190476191,2000-12-31,2000-12-31,788,0,1,16,5,5,29942,5988.4,1.0,1,1,1.0,5.0,8.317222222222222,0.9047619047619048,0.2857142857142857,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.2857142857142857,0.09523809523809523,0.0,0.14285714285714285,0.0,0.0,0.09523809523809523,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.09523809523809523
5,198,198,3.1464646464646466,2000-12-31,2000-12-31,789,0,1,157,53,32,275949,5206.584905660377,0.6037735849056604,1,1,1.0,53.0,76.6525,0.15656565656565657,0.045454545454545456,0.020202020202020204,0.030303030303030304,0.2828282828282828,0.10606060606060606,0.030303030303030304,0.5252525252525253,0.0,0.015151515151515152,0.050505050505050504,0.015151515151515152,0.04040404040404041,0.15151515151515152,0.07575757575757576,0.19696969696969696,0.030303030303030304,0.005050505050505051
6,71,71,3.9014084507042255,2000-12-31,2000-12-31,789,0,1,74,23,18,127553,5545.782608695652,0.782608695652174,1,1,1.0,23.0,35.43138888888889,0.15492957746478872,0.11267605633802817,0.1267605633802817,0.22535211267605634,0.4507042253521127,0.028169014084507043,0.0,0.30985915492957744,0.028169014084507043,0.0,0.0,0.2676056338028169,0.0,0.4788732394366197,0.028169014084507043,0.04225352112676056,0.07042253521126761,0.11267605633802817
7,31,31,4.32258064516129,2000-12-31,2000-12-31,789,0,1,31,11,7,52033,4730.272727272727,0.6363636363636364,1,1,1.0,11.0,14.453611111111112,0.9354838709677419,0.25806451612903225,0.0,0.0,0.0967741935483871,0.06451612903225806,0.0,0.25806451612903225,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0967741935483871,0.3225806451612903,0.4838709677419355,0.12903225806451613,0.0
8,139,139,3.884892086330935,2000-12-31,2000-12-31,789,0,2,106,36,21,171361,4760.027777777777,0.5833333333333334,1,1,1.0,18.0,47.60027777777778,0.2589928057553957,0.06474820143884892,0.02877697841726619,0.02158273381294964,0.12949640287769784,0.09352517985611511,0.0,0.7769784172661871,0.0,0.0,0.007194244604316547,0.007194244604316547,0.02877697841726619,0.2158273381294964,0.09352517985611511,0.20863309352517986,0.07194244604316546,0.007194244604316547
9,106,106,3.7358490566037736,2000-12-31,2000-12-31,789,0,1,118,43,25,197257,4587.372093023256,0.5813953488372093,2,1,2.0,43.0,54.79361111111111,0.18867924528301888,0.0660377358490566,0.08490566037735849,0.04716981132075472,0.25471698113207547,0.1509433962264151,0.018867924528301886,0.5094339622641509,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.009433962264150943,0.16981132075471697,0.08490566037735849,0.25471698113207547,0.0660377358490566,0.009433962264150943
10,401,401,4.114713216957606,2000-12-31,2001-01-27,761,27,4,412,148,90,720542,4868.527027027027,0.6081081081081081,5,28,0.17857142857142858,37.0,200.15055555555554,0.20199501246882792,0.1745635910224439,0.08229426433915212,0.1596009975062344,0.456359102244389,0.03740648379052369,0.004987531172069825,0.2892768079800499,0.09476309226932668,0.00997506234413965,0.04738154613466334,0.09226932668329177,0.0199501246882793,0.16708229426433915,0.1770573566084788,0.06733167082294264,0.059850374064837904,0.0199501246882793
